feature,corr,p_value,significant,n
last_close_vwap_dev,-0.0716,0.0000,True,17252
last_Close,-0.0582,0.0000,True,17252
last_Low,-0.0580,0.0000,True,17252
last_High,-0.0568,0.0000,True,17252
last_r6,-0.0511,0.0000,True,17252
last_r6_lag2,-0.0463,0.0000,True,17252
last_r1,-0.0430,0.0000,True,17252
last_bb_pos,-0.0389,0.0000,True,17252
last_spectral_entropy,0.0380,0.0000,True,17252
last_volume_zscore,0.0376,0.0000,True,17252
last_lyapunov,0.0288,0.0002,True,17252
last_ou_speed,0.0284,0.0002,True,17252
last_r6_lag,0.0273,0.0003,True,17252
last_taker_buy_ratio,0.0268,0.0004,True,17252
last_bb_width,0.0266,0.0005,True,17252
last_variance_ratio,0.0161,0.0346,True,17252
last_phase_density,-0.0063,0.4082,False,17252
last_distance_hl_position,0.0054,0.4791,False,17252
last_vol_change,-0.0029,0.7019,False,17252
