,last_High,last_Low,last_Close,last_volume_zscore,last_r1,last_r6,last_r6_lag,last_r6_lag2,last_lyapunov,last_phase_density,last_variance_ratio,last_spectral_entropy,last_taker_buy_ratio,last_vol_change,last_distance_hl_position,last_bb_width,last_bb_pos,last_ou_speed,last_close_vwap_dev
last_High,1.0000,0.9990,0.9995,0.0209,0.0094,0.0371,0.0353,0.0399,0.0116,-0.0044,-0.0682,0.0366,-0.1261,0.0112,0.0984,-0.2290,0.1620,0.0755,0.0219
last_Low,0.9990,1.0000,0.9994,-0.0140,0.0139,0.0431,0.0383,0.0412,-0.0071,-0.0025,-0.0678,0.0365,-0.1280,-0.0098,0.1041,-0.2431,0.1598,0.0807,0.0269
last_Close,0.9995,0.9994,1.0000,0.0036,0.0216,0.0419,0.0367,0.0401,0.0024,-0.0037,-0.0679,0.0367,-0.1247,-0.0006,0.1022,-0.2357,0.1655,0.0779,0.0365
last_volume_zscore,0.0209,-0.0140,0.0036,1.0000,-0.0953,-0.1068,-0.0454,-0.0066,0.3505,-0.0467,0.0095,0.0254,0.0587,0.4880,-0.0384,0.2572,0.0586,-0.1852,-0.1015
last_r1,0.0094,0.0139,0.0216,-0.0953,1.0000,0.3996,0.0061,-0.0155,-0.0053,-0.0007,0.0051,0.0147,0.2052,-0.0740,0.1484,-0.0117,0.3005,0.0126,0.7256
last_r6,0.0371,0.0431,0.0419,-0.1068,0.3996,1.0000,-0.0465,0.0309,-0.0335,-0.0089,0.0078,0.0372,0.4241,-0.0228,0.3303,-0.0486,0.5613,0.0117,0.7444
last_r6_lag,0.0353,0.0383,0.0367,-0.0454,0.0061,-0.0465,1.0000,-0.0472,-0.0154,-0.0042,0.0040,0.0168,-0.0211,0.0071,0.2774,-0.0731,0.3930,-0.0012,-0.0330
last_r6_lag2,0.0399,0.0412,0.0401,-0.0066,-0.0155,0.0309,-0.0472,1.0000,-0.0249,0.0343,-0.0142,-0.0043,0.0073,0.0024,0.2677,-0.0864,0.2759,-0.0143,-0.0028
last_lyapunov,0.0116,-0.0071,0.0024,0.3505,-0.0053,-0.0335,-0.0154,-0.0249,1.0000,-0.0607,0.0628,-0.0663,0.0438,0.2163,-0.0124,0.0749,0.0024,-0.1260,-0.0238
last_phase_density,-0.0044,-0.0025,-0.0037,-0.0467,-0.0007,-0.0089,-0.0042,0.0343,-0.0607,1.0000,0.0311,-0.0348,-0.0225,-0.0215,0.0125,-0.0157,-0.0034,-0.0130,-0.0075
last_variance_ratio,-0.0682,-0.0678,-0.0679,0.0095,0.0051,0.0078,0.0040,-0.0142,0.0628,0.0311,1.0000,-0.3745,-0.0356,-0.0372,0.0411,0.2896,0.1649,-0.4526,0.0064
last_spectral_entropy,0.0366,0.0365,0.0367,0.0254,0.0147,0.0372,0.0168,-0.0043,-0.0663,-0.0348,-0.3745,1.0000,-0.0236,0.0091,-0.0475,-0.1967,-0.0889,0.6686,0.0276
last_taker_buy_ratio,-0.1261,-0.1280,-0.1247,0.0587,0.2052,0.4241,-0.0211,0.0073,0.0438,-0.0225,-0.0356,-0.0236,1.0000,-0.0055,0.2296,0.0317,0.2641,-0.0471,0.3527
last_vol_change,0.0112,-0.0098,-0.0006,0.4880,-0.0740,-0.0228,0.0071,0.0024,0.2163,-0.0215,-0.0372,0.0091,-0.0055,1.0000,-0.0104,-0.0224,-0.0281,0.0080,-0.0450
last_distance_hl_position,0.0984,0.1041,0.1022,-0.0384,0.1484,0.3303,0.2774,0.2677,-0.0124,0.0125,0.0411,-0.0475,0.2296,-0.0104,1.0000,-0.1573,0.4214,-0.0714,0.2509
last_bb_width,-0.2290,-0.2431,-0.2357,0.2572,-0.0117,-0.0486,-0.0731,-0.0864,0.0749,-0.0157,0.2896,-0.1967,0.0317,-0.0224,-0.1573,1.0000,0.4253,-0.4420,-0.0250
last_bb_pos,0.1620,0.1598,0.1655,0.0586,0.3005,0.5613,0.3930,0.2759,0.0024,-0.0034,0.1649,-0.0889,0.2641,-0.0281,0.4214,0.4253,1.0000,-0.2621,0.5000
last_ou_speed,0.0755,0.0807,0.0779,-0.1852,0.0126,0.0117,-0.0012,-0.0143,-0.1260,-0.0130,-0.4526,0.6686,-0.0471,0.0080,-0.0714,-0.4420,-0.2621,1.0000,0.0132
last_close_vwap_dev,0.0219,0.0269,0.0365,-0.1015,0.7256,0.7444,-0.0330,-0.0028,-0.0238,-0.0075,0.0064,0.0276,0.3527,-0.0450,0.2509,-0.0250,0.5000,0.0132,1.0000
